raw_reference,canonical_reference,cluster_id,confidence,reason
"Abramo G, 2014, SCIENTOMETRICS, V101, P1129, DOI 10.1007/s11192-014-1269-8","Abramo G, 2014, SCIENTOMETRICS, V101, P1129, DOI 10.1007/s11192-014-1269-8",1,100,doi_exact
"Abramo G, 2014, Scientometrics, V101, P1129, DOI:10.1007/s11192-014-1269-8","Abramo G, 2014, SCIENTOMETRICS, V101, P1129, DOI 10.1007/s11192-014-1269-8",1,100,doi_exact
"Blondel VD, 2008, J STAT MECH, P10008","Blondel VD, 2008, J STAT MECH, P10008",2,0,identity
"Kuhn TS, 1962, STRUCTURE SCIENTIFIC REVOLUTIONS","Kuhn TS, 1962, STRUCTURE SCIENTIFIC REVOLUTIONS",3,0,identity
"Merton RK, 1968, SOCIAL THEORY SOCIAL STRUCTURE","Merton RK, 1968, SOCIAL THEORY SOCIAL STRUCTURE",4,0,identity
"Newman MEJ, 2004, PHYS REV E, V69, P066133","Newman MEJ, 2004, PHYS REV E, V69, P066133",5,0,identity
"Newman MEJ, 2006, PHYS REV E, V74, P036104","Newman MEJ, 2006, PHYS REV E, V74, P036104",6,0,identity
"PORTER M E, 1985, COMPETITIVE ADVANTAGE","PORTER M E, 1985, COMPETITIVE ADVANTAGE",7,100,fuzzy_high
"Porter ME, 1985, COMPETITIVE ADVANTAGE","PORTER M E, 1985, COMPETITIVE ADVANTAGE",7,100,fuzzy_high
"Price DJ, 1963, LITTLE SCIENCE BIG SCIENCE","Price DJ, 1963, LITTLE SCIENCE BIG SCIENCE",8,0,identity
"Sugimoto CR, 2018, J INFORMETR, V12, P999","Sugimoto, C R, 2018, JOURNAL OF INFORMETRICS, V12, P999",9,100,fuzzy_high
"Sugimoto, C R, 2018, JOURNAL OF INFORMETRICS, V12, P999","Sugimoto, C R, 2018, JOURNAL OF INFORMETRICS, V12, P999",9,100,fuzzy_high
"VAN ECK N J, WALTMan L, 2010, SCIENTOMETRICS, V84, P523","VAN ECK N J, WALTMan L, 2010, SCIENTOMETRICS, V84, P523",10,100,fuzzy_high
"Wang X, 2020, NAT COMMUN, V11, P233","Wang, X, 2020, NATURE COMMUNICATIONS, V11, P233",11,100,fuzzy_high
"Wang, X, 2020, NATURE COMMUNICATIONS, V11, P233","Wang, X, 2020, NATURE COMMUNICATIONS, V11, P233",11,100,fuzzy_high
"van Eck NJ, Waltman L, 2010, SCIENTOMETRICS, V84, P523","VAN ECK N J, WALTMan L, 2010, SCIENTOMETRICS, V84, P523",10,100,fuzzy_high
